"","type","dataverse","classifier","specification","preprocessing","tested_class","alternative_class","accuracy","aucroc","precision","recall","f1","sd_accuracy","sd_aucroc","sd_precision","sd_recall","sd_f1","ent","sd_ent","classifier_rf","classifier_rf_rag","classifier_ds","classifier_sm","dataverse_full","dataverse_gtca","dataverse_gtall","dataverse_srca","dataverse_srall","type_allvall","type_onevall","type_onevone","specification_cls","specification_mean","specification_MAX","specification_def","specification_ex","specification_both","preprocessing_none","preprocessing_pre","preprocessing_norm","preprocessing_top200","onevone_casi","onevone_caen","onevone_cagm","onevone_ensi","onevone_engm","onevone_sigm","onevall_ca","onevall_si","onevall_en","onevall_gm","allvall_ca","allvall_si","allvall_en","allvall_gm","One vs. One","One vs. All","All vs. All"
"964","One vs. One","GT different all","Top-5 Similarity","CLS","None","GM","SI",0.792727272727273,0.692361111111111,0.792727272727273,1,0.883976608187135,0.0377026206424141,0.13388557510883,0.0377026206424141,0,0.0240570608570566,0.74240309838109,0.01853809207327,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"GM vs. SI",NA,NA
"965","One vs. One","SR different baseline","Deepseek R1","Definitions","None","EN","GM",0.492307692307692,0.621130952380952,0.05,0.0333333333333333,0.04,0.0809018123925537,0.13768540375858,0.111803398874989,0.074535599249993,0.0894427190999916,0.48313508774155,0.00357210694778361,NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN vs. GM",NA,NA
"966","One vs. One","SR different baseline","Deepseek R1","Definitions","None","GM","EN",0.492307692307692,0.621130952380952,0.518559218559218,0.864285714285714,0.645454545454546,0.0809018123925537,0.13768540375858,0.0485407495910022,0.196266166629058,0.094693939345453,0.528441555592096,0.00570563052379962,NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN vs. GM",NA,NA
"967","One vs. One","SR different baseline","Mean Top-5 + Random Forest","CLS","None","EN","GM",0.807692307692308,0.71,0.3,0.2,0.233333333333333,0.0685927389712586,0.187675843470123,0.447213595499958,0.273861278752583,0.324893144826965,0.615673435568887,0.0586750456840733,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN vs. GM",NA,NA
"968","One vs. One","SR different baseline","Mean Top-5 + Random Forest","CLS","None","GM","EN",0.807692307692308,0.71,0.833146853146853,0.96,0.889730848861284,0.0685927389712586,0.187675843470123,0.0682483089813271,0.0547722557505166,0.0384245153695569,0.757532463898643,0.0656171563679906,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN vs. GM",NA,NA
"969","One vs. One","SR different baseline","Random Forest","CLS","None","EN","GM",0.807692307692308,0.62,0,0,0,0.0351104203528953,0.225277606521376,0,0,0,0.542051059945378,0.0146544962362973,"●",NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN vs. GM",NA,NA
"970","One vs. One","SR different baseline","Random Forest","CLS","None","GM","EN",0.807692307692308,0.62,0.807692307692308,1,0.893280632411067,0.0351104203528953,0.225277606521376,0.0351104203528953,0,0.0216491129448682,0.726435355940514,0.0286389870137106,"●",NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN vs. GM",NA,NA
"971","One vs. One","SR different all","Top-5 Similarity","CLS","None","SI","GM",0.809558823529412,0.653021978021978,0,0,0,0.0255243455260438,0.114399429490378,0,0,0,0.560908401712422,0.0278880328054141,NA,NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"GM vs. SI",NA,NA
"972","One vs. One","SR different all","Top-5 Similarity","CLS","None","GM","SI",0.809558823529412,0.653021978021978,0.809558823529412,1,0.894579162031887,0.0255243455260438,0.114399429490378,0.0255243455260438,0,0.0158689301619484,0.760477817801466,0.0253153059930575,NA,NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"GM vs. SI",NA,NA
"973","One vs. One","SR different all","Deepseek R1","Definitions","None","CA","SI",0.69978021978022,0.591333333333333,0.691575091575092,1,0.817575757575758,0.0252210504014827,0.13815003474037,0.0168657354332914,0,0.011814296175526,0.633020564570172,0.0226000753137353,NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CA vs. SI",NA,NA
"974","One vs. One","SR different all","Deepseek R1","Definitions","None","SI","CA",0.69978021978022,0.591333333333333,0.4,0.08,0.133333333333333,0.0252210504014827,0.13815003474037,0.547722557505166,0.109544511501033,0.182574185835055,0.49340509149874,0.0124654923508303,NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CA vs. SI",NA,NA
